,bgcolor,dx,dy,edgecolor,frame,play,player,player_num,team,x,y,z,
60,,0.088397384,0.39027418,,60,Argentina 1-0 Australia,0,,,75.59592482,25.48777748,0,
61,,0.083039967,0.366621199,,61,Argentina 1-0 Australia,0,,,75.67896479,25.85439868,0,
62,,0.07768255,0.342968219,,62,Argentina 1-0 Australia,0,,,75.75664734,26.1973669,0,
63,,0.072325133,0.319315238,,63,Argentina 1-0 Australia,0,,,75.82897247,26.51668214,0,
64,,0.066967715,0.295662257,,64,Argentina 1-0 Australia,0,,,75.89594019,26.8123444,0,
65,,0.061610298,0.272009277,,65,Argentina 1-0 Australia,0,,,75.95755048,27.08435367,0,
66,,0.056252881,0.248356296,,66,Argentina 1-0 Australia,0,,,76.01380336,27.33270997,0,
67,,0.050895464,0.224703316,,67,Argentina 1-0 Australia,0,,,76.06469883,27.55741328,0,
68,,0.045538046,0.201050335,,68,Argentina 1-0 Australia,0,,,76.11023687,27.75846362,0,
69,,0.040180629,0.177397354,,69,Argentina 1-0 Australia,0,,,76.1504175,27.93586097,0,
70,,0.034823212,0.153744374,,70,Argentina 1-0 Australia,0,,,76.18524072,28.08960535,0,
71,,0.706548632,-0.485095616,,71,Argentina 1-0 Australia,0,,,76.89178935,27.60450973,0,
72,,0.691068694,-0.474467543,,72,Argentina 1-0 Australia,0,,,77.58285804,27.13004219,0,
73,,0.675588755,-0.46383947,,73,Argentina 1-0 Australia,0,,,78.2584468,26.66620272,0,
74,,0.660108816,-0.453211397,,74,Argentina 1-0 Australia,0,,,78.91855561,26.21299132,0,
75,,0.644628877,-0.442583324,,75,Argentina 1-0 Australia,0,,,79.56318449,25.770408,0,
76,,0.629148939,-0.431955251,,76,Argentina 1-0 Australia,0,,,80.19233343,25.33845275,0,
77,,0.613669,-0.421327178,,77,Argentina 1-0 Australia,0,,,80.80600243,24.91712557,0,
78,,0.598189061,-0.410699105,,78,Argentina 1-0 Australia,0,,,81.40419149,24.50642646,0,
79,,0.582709122,-0.400071032,,79,Argentina 1-0 Australia,0,,,81.98690061,24.10635543,0,
80,,0.567229184,-0.389442959,,80,Argentina 1-0 Australia,0,,,82.5541298,23.71691247,0,
81,,0.551749245,-0.378814886,,81,Argentina 1-0 Australia,0,,,83.10587904,23.33809759,0,
82,,0.536269306,-0.368186813,,82,Argentina 1-0 Australia,0,,,83.64214835,22.96991077,0,
83,,0.520789367,-0.35755874,,83,Argentina 1-0 Australia,0,,,84.16293771,22.61235203,0,
84,,0.505309429,-0.346930667,,84,Argentina 1-0 Australia,0,,,84.66824714,22.26542137,0,
85,,0.48982949,-0.336302594,,85,Argentina 1-0 Australia,0,,,85.15807663,21.92911877,0,
86,,0.474349551,-0.325674521,,86,Argentina 1-0 Australia,0,,,85.63242618,21.60344425,0,
87,,0.458869613,-0.315046448,,87,Argentina 1-0 Australia,0,,,86.0912958,21.2883978,0,
88,,0.443389674,-0.304418376,,88,Argentina 1-0 Australia,0,,,86.53468547,20.98397943,0,
89,,0.427909735,-0.293790303,,89,Argentina 1-0 Australia,0,,,86.96259521,20.69018912,0,
90,,0.412429796,-0.28316223,,90,Argentina 1-0 Australia,0,,,87.375025,20.40702689,0,
91,,0.396949858,-0.272534157,,91,Argentina 1-0 Australia,0,,,87.77197486,20.13449274,0,
92,,0.381469919,-0.261906084,,92,Argentina 1-0 Australia,0,,,88.15344478,19.87258665,0,
93,,0.36598998,-0.251278011,,93,Argentina 1-0 Australia,0,,,88.51943476,19.62130864,0,
94,,0.350510041,-0.240649938,,94,Argentina 1-0 Australia,0,,,88.8699448,19.3806587,0,
95,,0.335030103,-0.230021865,,95,Argentina 1-0 Australia,0,,,89.2049749,19.15063684,0,
96,,0.319550164,-0.219393792,,96,Argentina 1-0 Australia,0,,,89.52452507,18.93124305,0,
97,,0.304070225,-0.208765719,,97,Argentina 1-0 Australia,0,,,89.82859529,18.72247733,0,
98,,0.288590286,-0.198137646,,98,Argentina 1-0 Australia,0,,,90.11718558,18.52433968,0,
99,,0.273110348,-0.187509573,,99,Argentina 1-0 Australia,0,,,90.39029593,18.33683011,0,
100,,0.257630409,-0.1768815,,100,Argentina 1-0 Australia,0,,,90.64792633,18.15994861,0,
101,,0.24215047,-0.166253427,,101,Argentina 1-0 Australia,0,,,90.8900768,17.99369518,0,
102,,0.226670531,-0.155625354,,102,Argentina 1-0 Australia,0,,,91.11674734,17.83806983,0,
103,,0.211190593,-0.144997281,,103,Argentina 1-0 Australia,0,,,91.32793793,17.69307255,0,
104,,0.195710654,-0.134369208,,104,Argentina 1-0 Australia,0,,,91.52364858,17.55870334,0,
105,,0.180230715,-0.123741135,,105,Argentina 1-0 Australia,0,,,91.7038793,17.43496221,0,
106,,0.164750777,-0.113113062,,106,Argentina 1-0 Australia,0,,,91.86863007,17.32184914,0,
107,,0.149270838,-0.102484989,,107,Argentina 1-0 Australia,0,,,92.01790091,17.21936415,0,
108,,0.133790899,-0.091856916,,108,Argentina 1-0 Australia,0,,,92.15169181,17.12750724,0,
109,,0.103687261,2.045787623,,109,Argentina 1-0 Australia,0,,,92.25537907,19.17329486,0,
110,,0.100592118,1.984719336,,110,Argentina 1-0 Australia,0,,,92.35597119,21.1580142,0,
111,,0.097496976,1.923651049,,111,Argentina 1-0 Australia,0,,,92.45346817,23.08166525,0,
112,,0.094401834,1.862582762,,112,Argentina 1-0 Australia,0,,,92.54787,24.94424801,0,
113,,0.091306692,1.801514474,,113,Argentina 1-0 Australia,0,,,92.63917669,26.74576248,0,
114,,0.08821155,1.740446187,,114,Argentina 1-0 Australia,0,,,92.72738824,28.48620867,0,
115,,0.085116408,1.6793779,,115,Argentina 1-0 Australia,0,,,92.81250465,30.16558657,0,
116,,0.082021266,1.618309612,,116,Argentina 1-0 Australia,0,,,92.89452592,31.78389618,0,
117,,0.078926124,1.557241325,,117,Argentina 1-0 Australia,0,,,92.97345204,33.34113751,0,
118,,0.075830982,1.496173038,,118,Argentina 1-0 Australia,0,,,93.04928302,34.83731054,0,
119,,0.07273584,1.435104751,,119,Argentina 1-0 Australia,0,,,93.12201886,36.27241529,0,
120,,0.069640697,1.374036463,,120,Argentina 1-0 Australia,0,,,93.19165956,37.64645176,0,
121,,0.066545555,1.312968176,,121,Argentina 1-0 Australia,0,,,93.25820511,38.95941993,0,
122,,0.063450413,1.251899889,,122,Argentina 1-0 Australia,0,,,93.32165553,40.21131982,0,
123,,0.060355271,1.190831602,,123,Argentina 1-0 Australia,0,,,93.3820108,41.40215142,0,
124,,0.057260129,1.129763314,,124,Argentina 1-0 Australia,0,,,93.43927093,42.53191474,0,
125,,0.054164987,1.068695027,,125,Argentina 1-0 Australia,0,,,93.49343592,43.60060977,0,
126,,0.051069845,1.00762674,,126,Argentina 1-0 Australia,0,,,93.54450576,44.60823651,0,
127,,0.047974703,0.946558453,,127,Argentina 1-0 Australia,0,,,93.59248046,45.55479496,0,
128,,0.044879561,0.885490165,,128,Argentina 1-0 Australia,0,,,93.63736002,46.44028512,0,
129,,0.041784418,0.824421878,,129,Argentina 1-0 Australia,0,,,93.67914444,47.264707,0,
130,,0.038689276,0.763353591,,130,Argentina 1-0 Australia,0,,,93.71783372,48.02806059,0,
131,,0.035594134,0.702285304,,131,Argentina 1-0 Australia,0,,,93.75342785,48.7303459,0,
132,,0.032498992,0.641217016,,132,Argentina 1-0 Australia,0,,,93.78592684,49.37156291,0,
133,,0.02940385,0.580148729,,133,Argentina 1-0 Australia,0,,,93.81533069,49.95171164,0,
134,,0.026308708,0.519080442,,134,Argentina 1-0 Australia,0,,,93.8416394,50.47079208,0,
135,,0.023213566,0.458012154,,135,Argentina 1-0 Australia,0,,,93.86485297,50.92880424,0,
136,,0.020118424,0.396943867,,136,Argentina 1-0 Australia,0,,,93.88497139,51.3257481,0,
137,,1.793204356,-1.403188196,,137,Argentina 1-0 Australia,0,,,95.67817575,49.92255991,0,
138,,1.528942661,-1.196402567,,138,Argentina 1-0 Australia,0,,,97.20711841,49.92255991,0,
139,,1.264680967,-0.989616938,,139,Argentina 1-0 Australia,0,,,98.47179938,49.92255991,0,
140,,1.000419272,-0.782831309,,140,Argentina 1-0 Australia,0,,,99.47221865,49.92255991,0,
141,,0.736157578,-0.576045681,,141,Argentina 1-0 Australia,0,,,101.2083762,49.92255991,0,
142,,0.471895883,-0.369260052,,142,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
143,,0,0,,143,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
144,,0,0,,144,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
145,,0,0,,145,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
146,,0,0,,146,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
147,,0,0,,147,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
148,,0,0,,148,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
149,,0,0,,149,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
150,,0,0,,150,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
151,,0,0,,151,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
152,,0,0,,152,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
153,,0,0,,153,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
154,,0,0,,154,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
155,,0,0,,155,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,
156,,0,0,,156,Argentina 1-0 Australia,0,,,102.6802721,49.92255991,0,

157,lightblue,0,0,white,0,Argentina 1-0 Australia,12,66,attack,65.03401361,9.033613445,0,
158,lightblue,0.238222047,-0.138609968,white,1,Argentina 1-0 Australia,12,66,attack,65.27223565,8.895003478,0,2
159,lightblue,0.233640855,-0.116468288,white,2,Argentina 1-0 Australia,12,66,attack,65.50587651,8.77853519,0,
160,lightblue,0.229241731,-0.094973999,white,3,Argentina 1-0 Australia,12,66,attack,65.73511824,8.683561191,0,
161,lightblue,0.225024677,-0.0741271,white,4,Argentina 1-0 Australia,12,66,attack,65.96014292,8.609434091,0,
162,lightblue,0.220989692,-0.053927592,white,5,Argentina 1-0 Australia,12,66,attack,66.18113261,8.555506499,0,
163,lightblue,0.217136776,-0.034375475,white,6,Argentina 1-0 Australia,12,66,attack,66.39826938,8.521131024,0,
164,lightblue,0.21346593,-0.015470748,white,7,Argentina 1-0 Australia,12,66,attack,66.61173531,8.505660276,0,
165,lightblue,0.209977152,0.002786587,white,8,Argentina 1-0 Australia,12,66,attack,66.82171247,8.508446863,0,
166,lightblue,0.206670444,0.020396533,white,9,Argentina 1-0 Australia,12,66,attack,67.02838291,8.528843396,0,
167,lightblue,0.203545805,0.037359087,white,10,Argentina 1-0 Australia,12,66,attack,67.23192871,8.566202483,0,
168,lightblue,0.200603235,0.053674251,white,11,Argentina 1-0 Australia,12,66,attack,67.43253195,8.619876734,0,
169,lightblue,0.197842734,0.069342024,white,12,Argentina 1-0 Australia,12,66,attack,67.63037468,8.689218758,0,
170,lightblue,0.195264303,0.084362406,white,13,Argentina 1-0 Australia,12,66,attack,67.82563899,8.773581164,0,
171,lightblue,0.19286794,0.098735398,white,14,Argentina 1-0 Australia,12,66,attack,68.01850693,8.872316562,0,
172,lightblue,0.190653647,0.112460999,white,15,Argentina 1-0 Australia,12,66,attack,68.20916057,8.984777562,0,
173,lightblue,0.188621423,0.12553921,white,16,Argentina 1-0 Australia,12,66,attack,68.397782,9.110316771,0,
174,lightblue,0.186771269,0.137970029,white,17,Argentina 1-0 Australia,12,66,attack,68.58455327,9.248286801,0,
175,lightblue,0.185103183,0.149753459,white,18,Argentina 1-0 Australia,12,66,attack,68.76965645,9.398040259,0,
176,lightblue,0.183617167,0.160889497,white,19,Argentina 1-0 Australia,12,66,attack,68.95327362,9.558929756,0,
177,lightblue,0.18231322,0.171378145,white,20,Argentina 1-0 Australia,12,66,attack,69.13558684,9.730307901,0,
178,lightblue,0.181191342,0.181219402,white,21,Argentina 1-0 Australia,12,66,attack,69.31677818,9.911527302,0,
179,lightblue,0.180251533,0.190413268,white,22,Argentina 1-0 Australia,12,66,attack,69.49702971,10.10194057,0,
180,lightblue,0.179493793,0.198959744,white,23,Argentina 1-0 Australia,12,66,attack,69.6765235,10.30090031,0,
181,lightblue,0.178918123,0.206858829,white,24,Argentina 1-0 Australia,12,66,attack,69.85544163,10.50775914,0,
182,lightblue,0.178524522,0.214110523,white,25,Argentina 1-0 Australia,12,66,attack,70.03396615,10.72186967,0,
183,lightblue,0.178312989,0.220714826,white,26,Argentina 1-0 Australia,12,66,attack,70.21227914,10.94258449,0,
184,lightblue,0.178283527,0.226671739,white,27,Argentina 1-0 Australia,12,66,attack,70.39056266,11.16925623,0,
185,lightblue,0.178436133,0.231981262,white,28,Argentina 1-0 Australia,12,66,attack,70.5689988,11.40123749,0,
186,lightblue,0.178770808,0.236643393,white,29,Argentina 1-0 Australia,12,66,attack,70.7477696,11.63788089,0,
187,lightblue,0.179287553,0.240658134,white,30,Argentina 1-0 Australia,12,66,attack,70.92705716,11.87853902,0,
188,lightblue,0.179986367,0.244025484,white,31,Argentina 1-0 Australia,12,66,attack,71.10704353,12.1225645,0,
189,lightblue,0.18086725,0.246745444,white,32,Argentina 1-0 Australia,12,66,attack,71.28791078,12.36930995,0,
190,lightblue,0.181930202,0.248818013,white,33,Argentina 1-0 Australia,12,66,attack,71.46984098,12.61812796,0,
191,lightblue,0.183175224,0.250243191,white,34,Argentina 1-0 Australia,12,66,attack,71.6530162,12.86837115,0,
192,lightblue,0.184602315,0.251020979,white,35,Argentina 1-0 Australia,12,66,attack,71.83761852,13.11939213,0,
193,lightblue,0.186211474,0.251151375,white,36,Argentina 1-0 Australia,12,66,attack,72.02382999,13.37054351,0,
194,lightblue,0.188002703,0.250634381,white,37,Argentina 1-0 Australia,12,66,attack,72.21183269,13.62117789,0,
195,lightblue,0.189976002,0.249469997,white,38,Argentina 1-0 Australia,12,66,attack,72.4018087,13.87064788,0,
196,lightblue,0.192131369,0.247658222,white,39,Argentina 1-0 Australia,12,66,attack,72.59394006,14.11830611,0,
197,lightblue,0.194468806,0.245199056,white,40,Argentina 1-0 Australia,12,66,attack,72.78840887,14.36350516,0,
198,lightblue,0.196988311,0.242092499,white,41,Argentina 1-0 Australia,12,66,attack,72.98539718,14.60559766,0,
199,lightblue,0.199689886,0.238338552,white,42,Argentina 1-0 Australia,12,66,attack,73.18508707,14.84393621,0,
200,lightblue,0.202573531,0.233937214,white,43,Argentina 1-0 Australia,12,66,attack,73.3876606,15.07787343,0,
201,lightblue,0.205639244,0.228888486,white,44,Argentina 1-0 Australia,12,66,attack,73.59329984,15.30676191,0,
202,lightblue,0.208887027,0.223192366,white,45,Argentina 1-0 Australia,12,66,attack,73.80218687,15.52995428,0,
203,lightblue,0.212316878,0.216848856,white,46,Argentina 1-0 Australia,12,66,attack,74.01450375,15.74680314,0,
204,lightblue,0.215928799,0.209857956,white,47,Argentina 1-0 Australia,12,66,attack,74.23043255,15.95666109,0,
205,lightblue,0.219722789,0.202219664,white,48,Argentina 1-0 Australia,12,66,attack,74.45015534,16.15888076,0,
206,lightblue,0.223698849,0.193933982,white,49,Argentina 1-0 Australia,12,66,attack,74.67385418,16.35281474,0,
207,lightblue,0.227856977,0.18500091,white,50,Argentina 1-0 Australia,12,66,attack,74.90171116,16.53781565,0,
208,lightblue,0.232197175,0.175420446,white,51,Argentina 1-0 Australia,12,66,attack,75.13390834,16.71323609,0,
209,lightblue,0.236719442,0.165192592,white,52,Argentina 1-0 Australia,12,66,attack,75.37062778,16.87842869,0,
210,lightblue,0.241423778,0.154317347,white,53,Argentina 1-0 Australia,12,66,attack,75.61205156,17.03274603,0,
211,lightblue,0.246310183,0.142794712,white,54,Argentina 1-0 Australia,12,66,attack,75.85836174,17.17554075,0,
212,lightblue,0.251378657,0.130624686,white,55,Argentina 1-0 Australia,12,66,attack,76.1097404,17.30616543,0,
213,lightblue,0.256629201,0.117807269,white,56,Argentina 1-0 Australia,12,66,attack,76.3663696,17.4239727,0,
