date,industry,unemployed
1958-01-01,Senegal,0
1958-01-01,SouthKorea,3
1958-01-01,Spain,9
1958-01-01,Switzerland,2
1958-01-01,UnitedStates,0
1959-01-01,Argentina,30
1959-01-01,Australia,0
1959-01-01,Brazil,36
1959-01-01,Croatia,0
1959-01-01,England,18
1959-01-01,France,16
1959-01-01,Japan,14
1959-01-01,Morocco,0
1959-01-01,Netherlands,21
1959-01-01,Poland,13
1959-01-01,Portugal,12
1959-01-01,Senegal,0
1959-01-01,SouthKorea,21
1959-01-01,Spain,17
1959-01-01,Switzerland,4
1959-01-01,UnitedStates,1
1960-01-01,Argentina,33
1960-01-01,Australia,0
1960-01-01,Brazil,42
1960-01-01,Croatia,0
1960-01-01,England,24
1960-01-01,France,19
1960-01-01,Japan,5
1960-01-01,Morocco,5
1960-01-01,Netherlands,15
1960-01-01,Poland,11
1960-01-01,Portugal,1
1960-01-01,Senegal,0
1960-01-01,SouthKorea,16
1960-01-01,Spain,19
1960-01-01,Switzerland,18
1960-01-01,UnitedStates,3
1961-01-01,Argentina,9
1961-01-01,Australia,0
1961-01-01,Brazil,11
1961-01-01,Croatia,0
1961-01-01,England,30
1961-01-01,France,7
1961-01-01,Japan,10
1961-01-01,Morocco,8
1961-01-01,Netherlands,11
1961-01-01,Poland,9
1961-01-01,Portugal,9
1961-01-01,Senegal,2
1961-01-01,SouthKorea,3
1961-01-01,Spain,12
1961-01-01,Switzerland,7
1961-01-01,UnitedStates,0
1962-01-01,Argentina,9
1962-01-01,Australia,0
1962-01-01,Brazil,30
1962-01-01,Croatia,0
1962-01-01,England,23
1962-01-01,France,7
1962-01-01,Japan,5
1962-01-01,Morocco,5
1962-01-01,Netherlands,18
1962-01-01,Poland,10
1962-01-01,Portugal,6
1962-01-01,Senegal,1
1962-01-01,SouthKorea,4
1962-01-01,Spain,10
1962-01-01,Switzerland,5
1962-01-01,UnitedStates,0
1963-01-01,Argentina,26
1963-01-01,Australia,0
1963-01-01,Brazil,34
1963-01-01,Croatia,0
1963-01-01,England,26
1963-01-01,France,13
1963-01-01,Japan,16
1963-01-01,Morocco,7
1963-01-01,Netherlands,6
1963-01-01,Poland,20
1963-01-01,Portugal,1
1963-01-01,Senegal,3
1963-01-01,SouthKorea,9
1963-01-01,Spain,5
