date,industry,unemployed
2009-01-01,Japan,40
2009-01-01,Morocco,6
2009-01-01,Netherlands,18
2009-01-01,Poland,19
2009-01-01,Portugal,19
2009-01-01,Senegal,4
2009-01-01,SouthKorea,16
2009-01-01,Spain,47
2009-01-01,Switzerland,12
2009-01-01,UnitedStates,43
2010-01-01,Argentina,31
2010-01-01,Australia,13
2010-01-01,Brazil,26
2010-01-01,Croatia,15
2010-01-01,England,21
2010-01-01,France,13
2010-01-01,Japan,18
2010-01-01,Morocco,4
2010-01-01,Netherlands,40
2010-01-01,Poland,22
2010-01-01,Portugal,29
2010-01-01,Senegal,16
2010-01-01,SouthKorea,28
2010-01-01,Spain,32
2010-01-01,Switzerland,11
2010-01-01,UnitedStates,19
2011-01-01,Argentina,35
2011-01-01,Australia,34
2011-01-01,Brazil,21
2011-01-01,Croatia,17
2011-01-01,England,15
2011-01-01,France,17
2011-01-01,Japan,32
2011-01-01,Morocco,13
2011-01-01,Netherlands,29
2011-01-01,Poland,14
2011-01-01,Portugal,26
2011-01-01,Senegal,9
2011-01-01,SouthKorea,35
2011-01-01,Spain,30
2011-01-01,Switzerland,10
2011-01-01,UnitedStates,16
2012-01-01,Argentina,26
2012-01-01,Australia,33
2012-01-01,Brazil,38
2012-01-01,Croatia,17
2012-01-01,England,25
2012-01-01,France,21
2012-01-01,Japan,21
2012-01-01,Morocco,10
2012-01-01,Netherlands,29
2012-01-01,Poland,19
2012-01-01,Portugal,17
2012-01-01,Senegal,12
2012-01-01,SouthKorea,19
2012-01-01,Spain,42
2012-01-01,Switzerland,19
2012-01-01,UnitedStates,23
2013-01-01,Argentina,26
2013-01-01,Australia,19
2013-01-01,Brazil,49
2013-01-01,Croatia,17
2013-01-01,England,27
2013-01-01,France,20
2013-01-01,Japan,33
2013-01-01,Morocco,13
2013-01-01,Netherlands,30
2013-01-01,Poland,22
2013-01-01,Portugal,23
2013-01-01,Senegal,8
2013-01-01,SouthKorea,16
2013-01-01,Spain,26
2013-01-01,Switzerland,12
2013-01-01,UnitedStates,45
2014-01-01,Argentina,26
2014-01-01,Australia,11
2014-01-01,Brazil,33
2014-01-01,Croatia,24
2014-01-01,England,23
2014-01-01,France,34
2014-01-01,Japan,25
2014-01-01,Morocco,26
2014-01-01,Netherlands,31
2014-01-01,Poland,21
2014-01-01,Portugal,19
2014-01-01,Senegal,12
2014-01-01,SouthKorea,13
2014-01-01,Spain,22
2014-01-01,Switzerland,20
2014-01-01,UnitedStates,15
2015-01-01,Argentina,14
2015-01-01,Australia,33
2015-01-01,Brazil,20
2015-01-01,Croatia,17
2015-01-01,England,23
2015-01-01,France,17
2015-01-01,Japan,40
2015-01-01,Morocco,18
2015-01-01,Netherlands,15
2015-01-01,Poland,25
2015-01-01,Portugal,12
2015-01-01,Senegal,27
2015-01-01,SouthKorea,44
2015-01-01,Spain,14
2015-01-01,Switzerland,24
2015-01-01,UnitedStates,29
2016-01-01,Argentina,30
2016-01-01,Australia,23
2016-01-01,Brazil,28
2016-01-01,Croatia,26
2016-01-01,England,21
2016-01-01,France,36
2016-01-01,Japan,30
2016-01-01,Morocco,16
2016-01-01,Netherlands,19
2016-01-01,Poland,22
2016-01-01,Portugal,42
2016-01-01,Senegal,10
2016-01-01,SouthKorea,15
2016-01-01,Spain,34
2016-01-01,Switzerland,15
2016-01-01,UnitedStates,30
2017-01-01,Argentina,15
2017-01-01,Australia,18
2017-01-01,Brazil,21
2017-01-01,Croatia,12
2017-01-01,England,14
2017-01-01,France,23
2017-01-01,Japan,20
2017-01-01,Morocco,26
2017-01-01,Netherlands,25
2017-01-01,Poland,18
2017-01-01,Portugal,35
2017-01-01,Senegal,29
2017-01-01,SouthKorea,16
2017-01-01,Spain,33
2017-01-01,Switzerland,16
2017-01-01,UnitedStates,33
2018-01-01,Argentina,24
2018-01-01,Australia,22
2018-01-01,Brazil,29
2018-01-01,Croatia,24
2018-01-01,England,28
2018-01-01,France,32
2018-01-01,Japan,27
2018-01-01,Morocco,30
2018-01-01,Netherlands,16
2018-01-01,Poland,16
2018-01-01,Portugal,22
2018-01-01,Senegal,9
2018-01-01,SouthKorea,24
2018-01-01,Spain,33
2018-01-01,Switzerland,29
2018-01-01,UnitedStates,10
2019-01-01,Argentina,28
2019-01-01,Australia,22
2019-01-01,Brazil,33
2019-01-01,Croatia,20
2019-01-01,England,29
2019-01-01,France,27
2019-01-01,Japan,35
2019-01-01,Morocco,17
2019-01-01,Netherlands,27
2019-01-01,Poland,18
2019-01-01,Portugal,26
2019-01-01,Senegal,24
2019-01-01,SouthKorea,27
2019-01-01,Spain,31
2019-01-01,Switzerland,20
2019-01-01,UnitedStates,38
